Input,Division Ratio
0,256.0
1,242.43258666992188
2,242.43795776367188
3,242.45452880859375
4,242.43353271484375
5,242.50527954101562
6,242.41885375976562
7,242.4832763671875
8,242.4080810546875
9,242.46176147460938
10,242.43490600585938
11,242.49249267578125
12,242.39727783203125
13,242.48806762695312
14,242.46267700195312
15,242.456787109375
16,242.474365234375
17,242.47482299804688
18,242.43478393554688
19,242.48797607421875
20,242.45770263671875
21,242.48794555664062
22,242.42593383789062
23,242.4288330078125
24,242.4058837890625
25,242.47372436523438
26,242.47079467773438
27,242.48931884765625
28,242.47027587890625
29,242.48831176757812
30,242.46536254882812
31,242.41796875
32,242.41552734375
33,242.44088745117188
34,242.43795776367188
35,242.47747802734375
36,242.43890380859375
37,242.49014282226562
38,242.43301391601562
39,242.4588623046875
40,242.4564208984375
41,242.47689819335938
42,242.44760131835938
43,242.49932861328125
44,242.46319580078125
45,242.45144653320312
46,242.43875122070312
47,242.468505859375
48,242.477783203125
49,242.46505737304688
50,242.47238159179688
51,242.46063232421875
52,242.49041748046875
53,242.43081665039062
54,242.46939086914062
55,242.4635009765625
56,242.4053955078125
57,242.46981811523438
58,242.47079467773438
59,242.47808837890625
60,242.45318603515625
61,242.46926879882812
62,242.48538208007812
63,242.4453125
64,242.0166015625
65,242.47164916992188
66,242.48239135742188
67,242.47796630859375
68,242.36712646484375
69,242.45303344726562
70,242.47695922851562
71,242.4749755859375
72,242.5340576171875
73,242.48812866210938
74,242.46176147460938
75,242.45928955078125
76,242.42755126953125
77,242.42214965820312
78,242.47683715820312
79,242.440185546875
80,242.539794921875
81,242.44015502929688
82,242.50997924804688
83,242.49139404296875
84,242.46356201171875
85,242.46597290039062
86,242.47525024414062
87,242.4761962890625
88,242.5260009765625
89,242.48397827148438
90,242.47177124023438
91,242.45367431640625
92,242.42828369140625
93,242.45022583007812
94,242.49563598632812
95,242.4443359375
96,242.39892578125
97,242.46627807617188
98,242.47702026367188
99,242.42327880859375
100,242.44769287109375
101,242.48574829101562
102,242.47061157226562
103,242.5018310546875
104,242.4359130859375
105,242.46517944335938
106,242.45980834960938
107,242.39874267578125
108,242.52569580078125
109,242.48123168945312
110,242.49880981445312
111,242.462158203125
112,242.281494140625
113,242.46359252929688
114,242.44747924804688
115,242.44989013671875
116,242.44842529296875
117,242.48941040039062
118,242.49282836914062
119,242.4844970703125
120,242.5020751953125
121,242.48397827148438
122,242.45370483398438
123,242.42291259765625
124,242.43072509765625
125,242.49807739257812
126,242.48782348632812
127,242.47216796875
128,241.9375
129,242.47457885742188
130,242.41354370117188
131,242.48919677734375
132,242.46380615234375
133,242.51455688476562
134,242.45791625976562
135,242.4613037109375
136,242.4334716796875
137,242.41732788085938
138,242.44076538085938
139,242.43682861328125
140,242.48712158203125
141,242.48709106445312
142,242.43338012695312
143,242.444091796875
144,242.417724609375
145,242.43038940429688
146,242.40695190429688
147,242.48553466796875
148,242.39129638671875
149,242.44448852539062
150,242.45425415039062
151,242.4649658203125
152,242.4449462890625
153,242.41464233398438
